word,tfidf,label
atrocity,0.692562107324918,0
flee,0.5531981624737402,0
food,0.7220504139767155,0
price,0.6140697281061197,0
oligarch,0.6342276592701123,0
application,0.4931309646195043,0
jab,0.5370569822805592,0
day,0.6983383300115326,0
gymnast,0.7138135648724011,0
refugee,0.7487559537889817,0
minister,0.6303242916915519,0
measure,0.5316743936976256,0
resident,0.655914439402731,0
troll,0.783674060906377,0
break,0.5533149609123611,0
price,0.6140697281061197,0
tell,0.6186144783575701,0
helicopter,0.626713305028207,0
unexpected,0.5387476425263009,0
narrative,0.5810727202564211,0
paper,0.5565464127375536,0
tied,0.46528103329518566,0
medical,0.6596256334916607,0
disease,0.6509069903705964,0
ferry,0.7300354339042125,0
sound,0.7872768823004954,0
container,0.6282609541323734,0
question,0.8434664312694765,0
advert,0.7401108351269219,0
unveil,0.42897908116230377,0
director,0.680294260841775,0
editor,0.5947072762833148,0
worried,0.5834722521089435,0
welsh,0.7131649150814778,0
structure,0.6858195317102863,0
derby,0.6741646064387874,0
bowler,0.6282484161529552,0
team,0.587465547202218,0
perry,0.6112440944926387,0
bronze,0.6577484559739657,0
prove,0.47397056073402266,0
area,0.5368150016939764,0
covid,0.6210517997003281,0
covid,0.6210517997003281,0
fourth,0.6408292995487628,0
covering,0.6212958347614989,0
covid,0.6210517997003281,0
map,0.6454021276042531,0
although,0.455519568820693,0
free,0.6053851214540273,0
covid,0.6210517997003281,0
covid,0.6210517997003281,0
difficulty,0.6158136637268451,0
student,0.7074506035812129,0
photo,0.7038755871361887,0
police,0.6152094133079338,0
city,0.6660043147104997,0
thousand,0.4678910300048544,0
fled,0.473388979659443,0
bought,0.4683716257321278,0
arsenal,0.6810203527645136,0
queen,0.5937209980265705,0
shape,0.6512614500539252,0
partner,0.6526503575880954,0
dog,0.7829188222721722,0
brain,0.7232328528728071,0
inquest,0.8051998826031284,0
economic,0.5494459263537796,0
west,0.6383601873214826,0
hell,0.573145537087947,0
via,0.4642818766754055,0
visa,0.6899250637218373,0
tornado,0.7351746428949686,0
guide,0.7224448949451844,0
worker,0.6455174269451004,0
simply,0.4776258682264445,0
finally,0.5886049700207487,0
servant,0.5565504123917213,0
horner,0.6532653182301831,0
player,0.6923227356332915,0
positive,0.650104750825013,0
via,0.4642818766754055,0
squeeze,0.5512538232677512,0
taxpayer,0.6688324603516971,0
researcher,0.5766064920202459,0
food,0.7220504139767155,0
public,0.547325627684268,0
vaccine,0.7275064043143037,0
war,0.6717311001930266,0
package,0.6496835084042607,0
hoax,0.7266404544155187,0
humanitarian,0.4847719813337152,0
basement,0.7637023622116287,0
designer,0.8235421924800299,0
eve,0.7376086861619973,0
posted,0.5114444811268469,0
counting,0.44750081020389276,0
misogyny,0.6720482998687263,0
kidney,0.7943695135576858,0
tech,0.5273901648605541,0
way,0.5277774853151886,0
backer,0.47705692104696756,0
root,0.6596472248978741,0
woman,0.6837976904206575,0
virus,0.7084032449793582,0
diet,0.7845169994477332,0
rematch,0.8336388487734051,0
troop,0.6653113379131245,0
response,0.5939346304254346,0
oil,0.6446291780269736,0
terrorist,0.46173136179192253,0
kremlin,0.6233958641211584,0
lee,0.7004994330560388,0
missing,0.6215839826163226,0
present,0.5941840670451015,0
scam,0.6126435931267517,0
case,0.5765204664729962,0
tell,0.6186144783575701,0
welcome,0.6057509984457721,0
treat,0.5592169050332223,0
west,0.6383601873214826,0
soldier,0.644318076218006,0
met,0.6230580749081382,0
oil,0.6446291780269736,0
president,0.6636715379152149,0
leader,0.554452685398506,0
advice,0.6530962119551911,0
singing,0.626745437730954,0
travel,0.590783072776295,0
taught,0.4563612198927051,0
video,0.5893069275912792,0
office,0.5763044753176269,0
private,0.5857670670789663,0
verge,0.6321946442575118,0
refugee,0.7487559537889817,0
nurse,0.675508583246672,0
activity,0.6326866176569779,0
inter,0.6818299354715239,0
rescue,0.6298945106372054,0
score,0.6304887657682028,0
chemical,0.6297852074199806,0
supply,0.5554362464414264,0
militia,0.6572403338966148,0
recession,0.7545645791931098,0
bank,0.7577090715703068,0
household,0.567899709755406,0
faulty,0.40510050700371675,0
burning,0.631393296005669,0
snake,0.843480163122049,0
real,0.7060859772474178,0
crackdown,0.6390731055328507,0
food,0.7220504139767155,0
mode,0.447663132315917,0
guide,0.7224448949451844,0
paper,0.5565464127375536,0
novel,0.717545207313778,0
glass,0.7437232292042019,0
underwater,0.6689714715462064,0
club,0.6180205171829959,0
riot,0.7088481326758374,0
vulnerable,0.6292214317558048,0
unlikely,0.5846738617317282,0
chose,0.6073479362846221,0
community,0.606054447398237,0
kidney,0.7943695135576858,0
better,0.6152334144074485,0
bowler,0.6282484161529552,0
running,0.5771222908328025,0
added,0.5700708814405756,0
draw,0.6123445576098634,0
recovery,0.5324968457475845,0
advance,0.5039698728272829,0
convoy,0.6213878035967614,0
visa,0.6899250637218373,0
hospital,0.6499904897502101,0
temporarily,0.5621070306590397,0
hoax,0.7266404544155187,0
tested,0.6559250799733713,0
oligarch,0.6342276592701123,0
club,0.6180205171829959,0
million,0.6259699884948504,0
draft,0.5649729207298954,0
regional,0.5941751731942639,0
advance,0.5039698728272829,0
image,0.5885067022104084,0
crime,0.6733629872094682,0
family,0.6166667719087667,0
tank,0.7990454431590468,0
bomb,0.8458791578745908,0
sanction,0.7105269896476473,0
refugee,0.7487559537889817,0
closely,0.407604975150022,0
pregnancy,0.5783502758218395,0
alongside,0.6373748247823745,0
student,0.7074506035812129,0
queen,0.5937209980265705,0
killer,0.6471315907923304,0
energy,0.6122678596184247,0
happy,0.6501210760158467,0
math,0.6543433857349733,0
arena,0.8874356866552626,6
wanting,0.4300354444156803,6
disabled,0.7099989585063549,6
donate,0.6149269922759416,6
war,0.6717311001930266,6
child,0.6592648782925008,6
decided,0.5742764656736162,6
parent,0.6669027864114332,6
child,0.6592648782925008,6
bike,0.7967793670292419,6
casualty,0.5485454503479924,6
nick,0.6731783336228291,6
war,0.6717311001930266,6
child,0.6592648782925008,6
illegal,0.6259590868166265,6
besieged,0.5021959308870612,6
beginning,0.4281527261027113,6
hear,0.6549679957898735,6
handling,0.6681704584528166,6
bread,0.5480196925055547,6
murdering,0.7706571980424527,6
child,0.6592648782925008,6
egg,0.6625923854992306,6
atrocity,0.692562107324918,6
indigenous,0.68065221488241,6
doll,0.679278346827518,6
time,0.929389326506369,6
drought,0.64781926410031,6
ask,0.5207383346089092,6
post,0.6897600703962116,6
child,0.6592648782925008,6
child,0.6592648782925008,6
disability,0.7463409199366642,6
gun,0.6506112343655137,6
genocide,0.7019578238767257,6
mysterious,0.4907495831033636,6
forgotten,0.50812175339043,6
black,0.671966825936245,6
child,0.6592648782925008,6
child,0.6592648782925008,6
spotted,0.6898716934327744,6
bunker,0.5371438883082716,6
post,0.6897600703962116,6
institution,0.6413269613162835,6
report,0.5838154181811386,6
disabled,0.7099989585063549,6
friendship,0.6810449926014573,6
bale,0.6941472918671168,6
foster,0.6379631491270789,6
heartbreak,0.5363060522960691,6
memorial,0.62163845465198,6
gunfire,0.447023102719315,6
chile,0.55447584331051,6
passion,0.6028085132197926,6
war,0.6717311001930266,6
cancellation,0.5574479028124281,6
east,0.570007412165724,6
crisis,0.5539568545047738,6
holly,0.7212008918959061,6
child,0.6592648782925008,6
child,0.6592648782925008,6
stroke,0.7158619182618777,6
racism,0.6163239356457363,6
catholic,0.5086349327597447,6
widow,0.48858096568677556,6
gymnast,0.7138135648724011,6
second,0.5211814855938786,6
child,0.6592648782925008,6
death,0.5900226206966078,6
medical,0.6596256334916607,6
smuggling,0.6249061184276736,6
abuse,0.8148137881499984,6
migrant,0.664384147027875,6
nursery,0.6521137135059709,6
sequel,0.6426761360602394,6
salvage,0.6487131031359307,6
jerry,0.7585736012233301,6
maxwell,0.7938716731445433,6
parent,0.6669027864114332,6
reef,0.7964562171686194,6
civil,0.5594160285293346,6
abuse,0.8148137881499984,6
stream,0.5492425208946746,6
parent,0.6669027864114332,6
century,0.7355945041812288,6
slim,0.7060011238973866,6
ownership,0.550532571311525,6
child,0.6592648782925008,6
child,0.6592648782925008,6
clinic,0.8204542886946742,6
child,0.6592648782925008,6
critically,0.4943846414587486,6
host,0.61884326573832,6
senator,0.6202764195794779,6
dentist,0.782411220166378,6
designer,0.8235421924800299,6
first,0.5835372008327548,6
singer,0.7045726215920154,6
cottage,0.7300175429938883,6
teach,0.42941107216034174,6
reopen,0.6616930901029627,6
horse,0.7486009724171104,6
cartoon,0.7919060360546061,6
queen,0.5937209980265705,6
child,0.6592648782925008,6
lying,0.6336826238841741,6
mystery,0.6557100266988537,6
abuse,0.8148137881499984,6
private,0.5857670670789663,6
scandal,0.604836753018217,6
cash,0.7889392899396434,6
inquiry,0.6481459013456248,6
swim,0.7678855750994485,6
lifesaving,0.5110744440170462,6
miscarriage,0.6097611089218817,6
see,0.5937364233501947,6
inquiry,0.6481459013456248,6
knew,0.5544363751680429,6
child,0.6592648782925008,6
fence,0.5222280044513803,6
language,0.6681336844156672,6
born,0.8634386835031296,6
national,0.6008996969121416,6
raise,0.5434054663122555,6
hungry,0.439785458815987,6
seeing,0.3978735391932,6
child,0.6592648782925008,6
highly,0.4322609588546903,6
child,0.6592648782925008,6
missing,0.6215839826163226,6
done,0.5890560847381306,6
child,0.6592648782925008,6
priest,0.7522739399293296,6
child,0.6592648782925008,6
secondary,0.6275410487118865,6
mill,0.6061524871977257,6
child,0.6592648782925008,6
twitter,0.7331777961207818,6
mother,0.6482536780405004,6
civil,0.5594160285293346,6
post,0.6897600703962116,6
investigate,0.6505445364647201,6
flu,0.6090255151394234,6
sound,0.7872768823004954,6
crisis,0.5539568545047738,6
catholic,0.5086349327597447,6
tear,0.5399186695483201,6
roll,0.6186166188768987,6
staff,0.5135840481621312,6
revolt,0.40927635835617543,6
healthy,0.6723765634015975,6
county,0.5351064249270465,6
child,0.6592648782925008,6
shake,0.5486118359805372,6
treating,0.6239399698544559,6
whose,0.5245877063279358,6
dig,0.4792640764056813,6
lost,0.6930192453779341,6
child,0.6592648782925008,6
child,0.6592648782925008,6
absent,0.4158897505928035,6
boat,0.675214355394686,6
special,0.6922229806601539,6
post,0.6897600703962116,6
behind,0.5620432510002471,6
hotel,0.6437313245269313,6
male,0.7155972294890441,6
mother,0.6482536780405004,6
homeless,0.6569953484231109,6
office,0.5763044753176269,6
child,0.6592648782925008,6
abuse,0.8148137881499984,6
crack,0.5224986943352857,6
rapist,0.4945695765510988,6
gunfire,0.447023102719315,6
forced,0.6746686382075404,6
detention,0.6539803532681573,6
mum,0.6043301980438893,6
child,0.6592648782925008,6
child,0.6592648782925008,6
measles,0.7027138641635927,6
root,0.6596472248978741,6
child,0.6592648782925008,6
previous,0.5334149771568931,6
law,0.6018777248737791,6
eight,0.548197231216148,6
refugee,0.7487559537889817,6
included,0.6212548057658596,6
rented,0.6830592968582822,6
wife,0.6443426335926916,6
historic,0.691418153426135,6
opportunity,0.5002580871510025,6
universal,0.6424907394695083,6
mother,0.6482536780405004,6
propaganda,0.7318531817458611,6
verge,0.6321946442575118,6
princess,0.7795629261673143,6
child,0.6592648782925008,6
infant,0.43372409960821945,6
drama,0.6430749351543306,6
streaming,0.6770551071600449,4
st,0.5700158004190261,4
volunteer,0.7060606132308488,4
boycott,0.5686975327936752,4
plant,0.6754965563696779,4
strategic,0.5496088249463843,4
sanction,0.7105269896476473,4
resistance,0.6728875356121046,4
boycott,0.5686975327936752,4
symbol,0.7459360410000462,4
oil,0.6446291780269736,4
oil,0.6446291780269736,4
halt,0.5008055210139961,4
oil,0.6446291780269736,4
tape,0.599781194422749,4
argue,0.4395709256137812,4
difficulty,0.6158136637268451,4
sanction,0.7105269896476473,4
grandmother,0.6918162752702077,4
bomb,0.8458791578745908,4
recruiting,0.4512511148496384,4
russia,0.7524368743078721,4
russia,0.7524368743078721,4
daily,0.6397039691002817,4
week,0.5544717127476066,4
export,0.6127611507441478,4
china,0.7415452954107524,4
flying,0.5210268164534516,4
oligarch,0.6342276592701123,4
trained,0.7220992539421024,4
economic,0.5494459263537796,4
unable,0.5560862751075845,4
church,0.6738591799121968,4
rail,0.6536867944329192,4
nuclear,0.7749661045531905,4
debt,0.6918028675795597,4
prompt,0.6024126484531336,4
wall,0.562836621965172,4
terrible,0.4819928725338609,4
battlefield,0.4741681459486782,4
brown,0.7646783259505245,4
lesson,0.7082379724767855,4
feared,0.6940765322897072,4
uniform,0.6185875090687895,4
fighting,0.6813503452179167,4
russia,0.7524368743078721,4
drove,0.4320094667327011,4
dissident,0.7059131938210924,4
city,0.6660043147104997,4
kremlin,0.6233958641211584,4
politician,0.6123752895107111,4
defined,0.5274512941616075,4
arctic,0.6593234625569919,4
invasion,0.7135980653959639,4
civilian,0.6676165234190983,4
embrace,0.5450331494297144,4
oil,0.6446291780269736,4
surrender,0.598806431322277,4
gas,0.6409748875049395,4
import,0.6626699444462089,4
recruit,0.5908334098395115,4
russia,0.7524368743078721,4
gas,0.6409748875049395,4
activity,0.6326866176569779,4
wife,0.6443426335926916,4
city,0.6660043147104997,4
intelligence,0.6679871153782285,4
wife,0.6443426335926916,4
russia,0.7524368743078721,4
possible,0.5377702930181694,4
based,0.5032089701016357,4
cartoon,0.7919060360546061,4
russia,0.7524368743078721,4
staged,0.6742159609465173,4
atrocity,0.692562107324918,4
embassy,0.7991654629237034,4
success,0.5861067607075163,4
genocide,0.7019578238767257,4
station,0.6632843477294427,4
analyst,0.46148124089964593,4
parent,0.6669027864114332,4
widow,0.48858096568677556,4
east,0.570007412165724,4
weapon,0.705291497269325,4
tank,0.7990454431590468,4
ammunition,0.6852410317964535,4
resistance,0.6728875356121046,4
crew,0.6369490192790854,4
barred,0.626450087019128,4
resident,0.655914439402731,4
berlin,0.6447751032792616,4
sinking,0.5352029814190934,4
missile,0.6805171443100172,4
men,0.6553518668573167,4
available,0.6058887828555263,4
see,0.5937364233501947,4
russia,0.7524368743078721,4
look,0.6024537023317463,4
village,0.707342429952525,4
whole,0.568191438434672,4
reed,0.7138290518601784,4
headed,0.5184569288993113,4
beaten,0.7460429956307221,4
back,0.5795802894636577,4
russia,0.7524368743078721,4
aid,0.7224980799843259,4
warn,0.5965530391247557,4
commander,0.7907389785545006,4
evacuee,0.7488187409655115,4
defensive,0.5770249905367354,4
surrender,0.598806431322277,4
may,0.5029433943029061,4
position,0.5919953691892402,4
plant,0.6754965563696779,4
ability,0.5574364693762502,4
rich,0.601565818806218,4
victory,0.5440734814488515,4
sanction,0.7105269896476473,4
promote,0.6263371055558165,4
liquid,0.6385996727845776,4
neutral,0.5555615120096474,4
sanction,0.7105269896476473,4
russia,0.7524368743078721,4
advance,0.5039698728272829,4
raging,0.5443228273937614,4
tie,0.5757602046523859,4
finland,0.6348591325291159,4
finland,0.6348591325291159,4
assessment,0.44224209485348237,4
gas,0.6409748875049395,4
city,0.6660043147104997,4
want,0.5483629230126597,4
battlefield,0.4741681459486782,4
besieged,0.5021959308870612,4
plant,0.6754965563696779,4
slogan,0.6373222875251623,4
peace,0.7051219920113879,4
diplomat,0.7159919189567205,4
loophole,0.7308034284482526,4
food,0.7220504139767155,4
eastern,0.5699423169931374,4
respond,0.5163042304282209,4
tactical,0.5770315211273551,4
russia,0.7524368743078721,4
entering,0.4523394684207555,4
rocket,0.700753632579462,4
dropping,0.4208166905752297,4
offensive,0.7050045375645989,4
russia,0.7524368743078721,4
darkness,0.8047270347299658,4
rocket,0.700753632579462,4
occupation,0.5013235179441857,4
grain,0.6939746401946008,4
aide,0.6228482229445467,4
widespread,0.5335025401447774,4
bombardment,0.5489136317823989,4
economy,0.7014467861151115,4
loophole,0.7308034284482526,4
russia,0.7524368743078721,4
sanction,0.7105269896476473,4
captain,0.7862509129841269,4
russia,0.7524368743078721,4
rocket,0.700753632579462,4
army,0.6360323402946374,4
ban,0.6629287408909088,4
russia,0.7524368743078721,4
russia,0.7524368743078721,4
eu,0.672113310707289,4
sanction,0.7105269896476473,4
withdraw,0.6042706516666629,4
on,0.5364165143973998,4
escape,0.7352987644498059,4
eastern,0.5699423169931374,4
drag,0.6686397730478159,4
range,0.44558454425735783,4
default,0.6291875846091405,4
foreign,0.6339070559508888,4
ben,0.6851767378265173,4
grain,0.6939746401946008,4
invasion,0.7135980653959639,4
threat,0.5895593558487549,4
